1/1/2020,1
1/2/2020,2
1/3/2020,2
1/4/2020,1
1/5/2020,1
1/6/2020,3
1/7/2020,3
1/8/2020,3
1/9/2020,3
1/10/2020,2
1/11/2020,2
1/12/2020,1
1/13/2020,3
1/14/2020,3
1/15/2020,3
1/16/2020,3
1/17/2020,2
1/18/2020,2
1/19/2020,2
1/20/2020,2
1/21/2020,3
1/22/2020,3
1/23/2020,3
1/24/2020,3
1/25/2020,2
1/26/2020,2
1/27/2020,3
1/28/2020,4
1/29/2020,3
1/30/2020,3
1/31/2020,3
2/1/2020,2
2/2/2020,2
2/3/2020,3
2/4/2020,3
2/5/2020,3
2/6/2020,3
2/7/2020,3
2/8/2020,2
2/9/2020,2
2/10/2020,3
2/11/2020,3
2/12/2020,4
2/13/2020,4
2/14/2020,3
2/15/2020,2
2/16/2020,2
2/17/2020,3
2/18/2020,3
2/19/2020,4
2/20/2020,3
2/21/2020,3
2/22/2020,3
2/23/2020,3
2/24/2020,4
2/25/2020,4
2/26/2020,4
2/27/2020,4
2/28/2020,3
2/29/2020,2
3/1/2020,2
3/2/2020,4
3/3/2020,4
3/4/2020,3
3/5/2020,4
3/6/2020,4
3/7/2020,3
3/8/2020,3
3/9/2020,4
3/10/2020,4
3/11/2020,5
3/12/2020,7
3/13/2020,9
3/14/2020,12
3/15/2020,9
3/16/2020,12
3/17/2020,18
3/18/2020,28
3/19/2020,27
3/20/2020,19
3/21/2020,17
3/22/2020,15
3/23/2020,16
3/24/2020,20
3/25/2020,15
3/26/2020,16
3/27/2020,12
3/28/2020,13
3/29/2020,13
3/30/2020,13
3/31/2020,100
4/1/2020,42
4/2/2020,28
4/3/2020,13
4/4/2020,10
4/5/2020,8
4/6/2020,7
4/7/2020,8
4/8/2020,7
4/9/2020,7
4/10/2020,6
4/11/2020,6
4/12/2020,5
4/13/2020,6
4/14/2020,7
4/15/2020,6
4/16/2020,6
4/17/2020,5
4/18/2020,4
4/19/2020,3
4/20/2020,5
4/21/2020,5
4/22/2020,5
4/23/2020,5
4/24/2020,3
4/25/2020,3
4/26/2020,3
4/27/2020,5
4/28/2020,5
4/29/2020,4
4/30/2020,4
5/1/2020,4
5/2/2020,4
5/3/2020,4
5/4/2020,4
5/5/2020,4
5/6/2020,4
5/7/2020,4
5/8/2020,3
5/9/2020,3
5/10/2020,2
5/11/2020,3
5/12/2020,4
5/13/2020,4
5/14/2020,3
